district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_std
32002,Blankenfelde/Niederschönhausen,2789,2599,2113,33,85,104,541,15,721.8931129476584,222.73389433768568,543.925925925926,171.5871444722714,648.8245614035088,246.38023190117985,831.2058823529412,209.56821112913227,822.5214210526316,205.0670200182033,823.9166666666666,326.56653962440777
32003,Buchholz,1732,1645,1375,27,37,49,404,1,718.2667757774141,220.3414984673654,522.4736842105264,112.13502199533711,643.08,144.38920781461934,889.5714285714286,301.06751460702026,1121.195,378.72644531482086,867.5555555555555,462.12771572480443
33004,Karow,1642,1561,1274,17,37,44,541,5,644.687922705314,241.38774356971948,547.8461538461538,122.67426119188309,618.8,104.41445755913507,846.4615384615385,197.96953275046107,809.5596666666667,141.79889029984216,866.4545454545455,312.78225002505485
33005,Blankenburg/Heinersdorf/Märchenland,2248,2081,1685,27,64,103,613,9,679.8898473788985,205.05613476029419,504.04545454545456,104.12925908409508,675.5,184.9775923657224,795.34375,282.57395370861076,897.9703571428572,237.84434654318557,906.5079365079365,384.6316995397475
34006,Schönholz/Wilhelmsruh/Rosenthal,1967,1843,1497,33,58,66,434,8,706.590625,212.1228299507562,573.5,100.39691230311819,660.1219512195122,148.60958837200766,835.96,199.2796360226838,884.7939333333331,176.21334165780277,838.2380952380952,287.14650034381054
34007,Pankow Zentrum,4186,3552,2906,38,126,167,1275,24,648.9091260634184,223.77870704588423,475.0344827586207,110.00697470050994,587.0882352941177,147.10294246010656,793.6266666666667,186.2963908003191,817.6794000000001,248.06839763934403,880.3118279569892,428.3190343478395
34008,Pankow Süd,3743,3432,2832,36,134,177,1108,16,656.4200316706255,205.6134115000095,503.2068965517241,116.26643641418275,640.1489361702128,160.74804685827004,753.1842105263158,226.6066024649365,752.1836499999998,187.66418211157904,942.1743119266055,396.1610186115568
35009,Weißensee,4268,3657,2916,33,134,230,1441,9,617.9859635811836,200.14202782513087,495.48148148148147,75.20861773983206,562.695652173913,141.11438265420603,664.8072289156627,164.00181868647482,916.7264285714286,215.7055574997017,725.1721854304636,301.7452736241702
35010,Weißensee Ost,2475,2173,1764,27,81,83,837,14,634.8594427244582,206.1652395674038,558.44,107.66695562396724,601.0434782608696,236.88665423894557,720.9807692307693,231.0841023697306,920.0950714285715,238.3121254122694,828.2033898305085,351.55378161473567
36011,Prenzlauer Berg Nordwest,2501,2230,1766,25,130,139,734,17,639.2109275730622,194.4686829308075,467.05263157894734,111.32458732324166,627.2625,169.80388865177918,738.0172413793103,156.12618506333888,766.9741052631578,127.009992756867,936.6538461538462,404.32916440562013
36012,Prenzlauer Berg Nord,2675,2434,2011,23,114,126,890,24,630.8896935933147,196.9431018672512,508.3157894736842,106.38768340971878,605.2168674698795,128.51155857598397,746.0769230769231,164.49314273243732,782.6863846153847,138.03256980034152,857.4268292682926,325.6201312704542
36013,Helmholtzplatz,1428,1272,969,8,64,92,456,8,623.9639953542393,211.39361468612313,528.6,121.8064037725439,563.3947368421053,128.03727064512583,660.1481481481482,154.32251535806026,742.519,74.04377564464338,921.2173913043479,373.44315535477404
36014,Prenzlauer Berg Ost,4243,3898,3083,44,181,164,1385,40,628.2083941605839,195.1324860565671,523.6969696969697,124.04749212712969,649.5480769230769,176.50044032001472,756.763440860215,189.85797883460734,795.6523529411764,162.6936557623343,970.219512195122,353.9362158102151
37015,Prenzlauer Berg Südwest,2464,2260,1762,15,109,94,863,29,602.265625,206.4883172551573,487.54545454545456,84.60539419725393,556.1408450704225,138.24453445922222,669.6716417910447,182.8551660724544,727.7185666666666,105.16266743304554,931.2898550724638,438.9882117353788
37016,Prenzlauer Berg Süd,2463,2232,1810,25,98,132,873,20,614.635687732342,185.97036239083477,489.6470588235294,113.13650006544671,613.2121212121212,137.36011235508096,698.2758620689655,174.5454038456177,694.6735714285712,106.0444971658461,901.6470588235294,357.97454544881214
41001,Charlottenburg Nord,3142,2890,2370,33,110,140,782,14,671.9675417661098,205.63703731103305,586.4,144.96062683823263,661.8965517241379,226.19605606060964,761.7083333333334,196.0358150444501,831.419894736842,103.58654266891722,940.9818181818182,333.81747970729725
42002,Heerstraße,2593,2302,1791,28,78,75,395,13,737.8543938422065,233.51004457233947,546.952380952381,56.681986724599014,776.8205128205128,207.70574730345808,826.2727272727273,202.16529774170849,893.0399411764706,161.20273739047929,1076.2115384615386,381.9483763772201
42003,Westend,4630,3796,3138,42,133,207,1345,29,637.8160462594868,212.47629051309363,479.6,125.71439991038251,601.3896103896104,147.63345041049936,757.3766233766233,195.34194303707798,802.4415294117649,137.8329891726095,939.5384615384615,407.3674288671613
43004,Schloss Charlottenburg,5533,4892,3912,47,193,248,2101,29,587.630459770115,216.27854750203565,448.3636363636364,119.74264543746992,569.3373493975904,162.9459192873538,708.3814432989691,179.2848898691554,777.5557567567569,162.60818870001688,850.0205128205129,364.70897816247
43005,Mierendorffplatz,1985,1804,1388,16,94,87,692,26,611.3038981702466,191.0313191526787,412.35714285714283,74.5835691771907,597.3658536585366,160.92587674105755,680.3928571428571,159.74145913391985,741.5149310344826,167.6727514867515,887.8169014084507,354.57073885632286
