mission_created_month,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_rd1,mission_count_rd2,mission_count_rd3,mission_count_rd4,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
2020-10,40926,36897,28967,739,1316,1324,2003,11785,10002,2681,649.9129883006148,612.0,214.83178057190497,532.4233449477352,517.0,146.7164051421379,625.6477683956574,601.0,164.6522361671558,734.341935483871,718.0,167.8088628577567,836.2783127853883,785.4865,194.4548525356684,894.0704500978474,807.5,368.1459688567804
2020-11,37634,33977,25620,693,1206,1033,1820,11233,8804,2524,651.1161968719625,612.0,213.7410619598416,544.2833638025594,522.0,155.39608543145047,621.5275590551181,598.0,147.71723316546468,720.6598837209302,685.0,183.60859742720623,840.3139109947646,765.97,988.8251344963656,840.2616580310881,753.5,349.2528232657754
2020-12,38700,34745,24286,747,1222,1257,1962,11373,8607,2622,646.5196110361513,608.0,210.7914072123156,531.7019064124784,513.0,140.67531030847965,613.6984334203655,600.0,153.60110182287994,722.683908045977,698.0,179.43889547225348,788.9921059602651,761.937,222.9830443575227,793.2574152542373,687.0,336.9624660855716
2021-01,36337,32672,26556,796,1244,1077,1789,10994,8123,2416,611.9597001325382,581.0,188.0556049835316,512.6725663716815,494.0,119.88881672112906,600.5352644836272,582.0,155.35458166280378,710.0651230101303,677.0,186.88803153909384,775.3285188679246,738.7635,200.3257336047552,878.2152046783626,811.0,347.26321166521666
2021-02,33132,29391,24631,703,1112,1484,1610,9932,7800,2128,623.9146701233685,589.0,199.91217709991,518.659829059829,500.0,120.41753349599212,611.6129905277402,592.0,154.00658713999232,722.7100424328147,711.0,192.0571192431597,817.9058949671785,783.55,244.8391925413501,888.520035618878,814.0,351.38875777434146
2021-03,37785,33990,27827,653,1216,1290,1754,11420,8680,2534,611.443983074307,578.0,194.19279143081744,510.33273703041147,486.0,152.1302504500451,595.3273427471116,577.0,142.29651293449,702.1983002832861,667.0,170.8488454661221,778.2432185430467,749.027,180.4736596492621,895.0389473684211,827.0,352.54175900584767
2021-04,37686,33805,27067,797,1233,1150,1902,11125,8539,2592,619.6515045773637,587.0,196.88925431278776,514.4928909952606,498.0,134.71341015874142,603.5868421052631,580.0,149.5974672184766,711.7191489361702,689.0,183.3808149272044,796.485744827586,768.08,177.3424706861707,890.0818584070796,810.0,352.8140189118461
2021-05,41226,36696,28467,726,1281,1798,2048,12365,9792,3079,614.7473429196624,579.0,200.77346513877345,512.8099173553719,497.0,141.2083446196611,606.8047337278107,588.0,154.1148198671489,702.0338541666666,677.0,173.3529198968271,785.8630045454548,748.808,179.53879623487217,888.8784773060029,800.0,365.8736183921101
2021-06,44891,39769,33454,803,1791,1972,2177,13366,11196,3379,632.3582964224872,595.0,217.0123125514557,498.4205128205128,488.0,134.001907532465,638.5423892100192,610.0,176.70100062224157,742.1343283582089,713.5,200.83742950849123,847.4026289978686,801.987,311.2079783128983,898.3112449799197,832.0,359.4094716329186
2021-07,42895,38390,33424,764,1400,1855,2087,12763,10789,3320,619.8151924375422,587.0,204.20043758456245,498.9153439153439,485.0,125.34007405232204,607.8956714761376,593.0,157.16737077650242,727.32868757259,702.0,186.66846615714607,828.2221586901767,800.177,183.6769248572688,889.3448275862069,821.0,351.7483915147471
2021-08,44355,39904,34580,815,1398,1598,2152,13321,11404,3159,631.8636289186621,595.0,214.0954411793965,510.4107142857143,497.0,127.82439102897384,620.7289088863891,595.0,163.2381973819434,745.1761297798378,712.0,184.5983073259413,831.3763833718251,794.237,194.9835762153631,906.3281884646628,829.0,356.34343465858416
2021-09,44409,39767,34996,799,1506,1470,2207,13481,11081,3061,644.3535154970185,605.0,221.95976704296305,502.6785714285714,489.5,127.249317646765,636.0010683760684,606.0,174.4606570389791,738.5167037861916,707.5,185.41949260515275,829.8573333333331,791.319,211.24848848267104,885.8517520215634,798.0,355.3106384072434
2021-10,44392,39502,34407,884,1535,1819,2204,14069,10595,2873,641.2615551751383,606.0,212.8075804634016,512.4319880418535,502.0,144.5362818107084,625.6574889867842,602.5,164.18396812837796,755.3218390804598,734.0,185.7691190037788,832.6823746835449,797.843,185.6862595709716,901.4769230769232,817.0,378.40646435124506
2021-11,42523,38597,33741,808,1236,1290,2184,15247,10196,3381,647.6038520904638,611.0,217.34220932534825,520.1323024054983,501.0,135.77611933983775,641.3184210526316,608.5,177.85763926430312,733.5335120643432,706.0,176.82350682731428,848.9779425587471,802.727,235.66924337915304,876.3024236037935,776.0,361.57273985631184
2021-12,42601,38104,33345,814,1453,1568,2078,15146,10078,3453,638.8297162499158,605.0,208.70731286785104,513.8675078864353,498.0,136.72792641602524,620.9381107491856,597.0,167.22938383469315,741.8444687842278,719.0,177.6003049754603,851.1865529661012,808.5205000000001,234.47441328103025,859.5937762825904,779.0,344.8690997385801
2022-01,43628,38828,33812,893,1422,2023,2218,16211,9775,3567,633.4045152722443,601.0,202.76707879444885,514.5337159253945,506.0,132.97993462888283,603.3185437997724,584.0,168.00109423027456,719.8254593175853,703.0,171.6668525379936,813.6889036458334,786.211,193.895187982762,895.6764705882352,808.0,369.6138058321994
2022-02,41968,34529,30596,422,1265,5019,2066,14514,9194,3681,640.3080199764983,607.0,206.95765788628705,518.5860058309038,503.0,139.0714319887571,639.3462469733656,609.0,188.4269393766916,758.6622864651774,734.0,195.6108993829249,830.4794010416663,798.595,203.27819766614783,952.765370705244,886.0,388.6295286652944
2022-03,44566,40188,35624,460,1630,1492,2430,15897,11074,4579,654.1444299071385,617.0,219.77642182614085,510.0298913043478,496.0,130.29934798379375,615.5517993456925,588.0,173.51343274306706,732.48,705.0,174.54267094131518,824.9067094430989,775.144,241.042428740712,858.0457809694793,761.0,351.7960063268748
