mission_created_date,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_rd1,mission_count_rd2,mission_count_rd3,mission_count_rd4,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
2021-06-02,1413,1273,1065,21,38,57,67,423,341,115,629.8402116402117,585.0,217.7871299561373,503.4736842105263,470.0,131.44089014587198,609.7142857142857,580.0,156.86017431366793,783.0,671.0,334.6467108050393,771.4666666666667,719.7560000000001,138.5529534007147,1028.560975609756,1063.0,302.6668175387325
2021-06-03,1512,1308,388,14,56,95,72,465,385,111,635.1780415430267,587.0,229.6146054073893,564.2,580.5,76.85021506512231,628.4444444444445,581.5,193.50783586119337,743.6296296296297,730.0,180.78039124183204,768.8551578947369,725.28,152.89487548249292,757.6268656716418,665.0,352.2378602257156
2021-06-04,1429,1284,884,25,40,60,77,419,381,105,651.3112840466927,611.0,228.64166171086904,502.6666666666667,512.5,87.61278445523804,616.8695652173913,588.0,196.8532689242574,758.4736842105264,711.0,197.22727116509031,885.9262307692309,800.64,230.7428142666469,919.975,783.0,418.0530875072673
2021-06-05,1508,1355,1079,29,69,48,80,454,376,111,632.4065817409767,595.0,209.3262591319128,516.5,492.0,106.55474200371496,648.4634146341464,604.0,212.2902609119146,718.1481481481482,709.0,168.73572958548655,846.6488888888888,842.8485000000001,163.47765921224936,879.9411764705883,751.5,404.8863619979157
2021-06-06,1533,1372,1168,21,76,46,66,452,401,119,637.7823129251701,598.0,220.7013344440504,461.0769230769231,453.0,96.45073141113856,646.15625,639.5,200.3474577593765,736.5925925925926,702.0,207.4892507427533,774.9332142857144,793.2105,124.04161948138992,926.6470588235294,831.0,359.15193732179205
2021-06-07,1438,1271,1092,36,65,62,70,426,361,116,624.3849329205366,591.0,210.6571364870269,491.1034482758621,454.0,133.25307416115777,620.625,593.5,142.1191571840675,779.9130434782609,736.0,299.0910340353188,858.0998,831.4,206.8216074665038,983.6530612244898,963.0,385.1990584436186
2021-06-08,1468,1295,1139,16,72,55,57,418,374,102,630.7468230694037,600.0,197.54330553282887,557.9166666666666,523.5,115.87725350036511,611.7647058823529,587.0,154.5054787345801,689.5333333333333,673.0,140.5076346761942,794.8027727272729,777.6265000000001,114.8875629121719,933.560975609756,955.0,323.4016889860416
2021-06-09,1529,1342,1169,32,77,62,82,433,362,124,624.90625,588.5,208.53445463119127,488.77272727272725,486.0,113.2506414648844,710.6666666666666,616.5,216.66036620876068,785.8461538461538,755.0,251.25742851628368,893.9211666666666,871.9135,196.0747607596924,833.7105263157895,751.0,363.1259857237205
2021-06-10,1574,1378,1205,24,88,56,69,460,411,128,657.286398467433,613.5,237.7583620036201,527.7058823529412,547.0,172.31539567965277,706.5111111111111,662.0,211.31833184496176,793.3793103448276,766.0,206.7782479913314,1084.3038571428572,779.884,1026.6983591182604,968.4324324324324,914.0,359.79983173831386
2021-06-11,1545,1328,1181,42,80,69,92,469,376,104,636.9155206286837,604.0,222.289084978689,489.7647058823529,446.0,174.07383644522622,623.3777777777777,603.0,174.06481145210992,710.65625,703.5,185.012921846016,794.8880000000001,731.137,247.572858403564,887.2291666666666,796.0,387.0412721729406
