planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
11300722,Rathaus Lichtenberg,529,500,295,8,16,13,265,5,229,5,514.0603773584905,500.0,141.18,473.2,413.0,164.86,541.125,540.0,119.65,719.3333333333334,702.0,68.66,668.1578,691.193,107.96,1084.7272727272727,1187.0,438.77
11300723,Bornitzstraße,85,60,34,1,25,0,34,7,31,5,494.61764705882354,485.0,120.33,484.0,484.0,,580.5333333333333,478.0,227.48,638.9166666666666,617.0,175.57,838.2262857142857,850.407,147.64,,,
11300724,Roedeliusplatz,148,134,67,0,5,9,59,1,51,1,541.1355932203389,540.0,125.66,,,,660.0,660.0,241.83,648.5,648.5,226.98,843.873,843.873,,871.0,648.0,554.46
11300725,Nibelungenviertel,361,232,125,4,10,6,110,3,97,2,535.3909090909091,493.0,194.88,503.5,503.5,153.44,644.5,534.5,306.2,666.0,666.0,,789.8153333333333,681.107,201.76,1125.8,905.0,531.2
11300826,Frankfurter Allee Süd,425,402,209,7,14,9,183,7,131,5,586.9562841530054,569.0,155.49,504.0,535.0,95.01,708.1111111111111,739.0,107.08,742.875,726.5,119.67,791.7258571428572,769.256,167.51,1018.5714285714286,965.0,269.83
11400927,Victoriastadt,75,69,35,2,4,2,30,1,16,1,680.3333333333334,634.5,272.29,851.0,851.0,,571.3333333333334,608.0,87.93,654.0,654.0,,573.087,573.087,,632.0,632.0,
11400928,Nöldnerplatz,84,78,35,1,4,2,30,1,13,1,683.3333333333334,716.0,183.4,489.0,489.0,,677.5,677.5,180.31,562.0,562.0,,795.787,795.787,,604.0,604.0,
11400929,Weitlingkiez,374,334,175,4,24,15,161,4,83,3,645.6211180124224,637.0,182.54,617.5,627.5,103.47,759.0,724.0,301.05,820.0,802.5,59.48,1004.52675,802.2885,425.49,1154.0,904.0,461.2
11400930,Zachertstraße,133,126,72,1,5,2,67,0,38,0,670.2388059701492,627.0,241.79,452.0,452.0,,730.75,719.0,69.46,,,,,,,714.0,714.0,
11400931,Massower Straße,247,231,122,2,11,5,108,4,64,4,643.5925925925926,633.5,170.28,401.0,401.0,115.97,673.3333333333334,594.0,150.22,653.75,612.0,113.92,721.091,729.732,112.04,829.0,749.0,455.01
11401032,Rosenfelder Ring,260,246,119,2,2,12,97,1,51,1,645.8969072164948,614.0,197.75,578.0,578.0,114.55,540.0,540.0,106.07,773.0,773.0,,768.646,768.646,,903.5555555555555,784.0,339.22
11401033,Gensinger Straße,216,202,115,2,7,7,105,3,44,3,673.3238095238095,675.0,170.38,744.0,744.0,,501.3333333333333,472.0,104.15,721.0,721.0,60.0,817.407,794.72,51.18,714.5,714.5,9.19
11401034,Tierpark,194,180,102,1,7,6,92,3,50,3,643.6304347826087,636.0,187.92,,,,567.3333333333334,554.0,116.57,670.0,685.0,77.6,776.7176666666668,799.196,91.73,1342.4,1351.0,279.37
11401135,Dolgenseestraße,400,378,195,3,12,10,163,3,78,3,698.4355828220858,664.0,207.41,553.0,553.0,,558.5,608.0,161.38,657.0,679.0,240.76,665.6823333333333,743.937,247.48,1435.75,1543.0,464.95
11401136,Volkradstraße,301,290,160,6,7,4,146,2,71,1,658.1438356164383,645.5,196.54,532.0,556.0,193.51,779.25,807.5,98.72,974.0,974.0,55.15,1003.913,1003.913,240.99,1113.5,1113.5,96.87
11401137,Erieseering,374,349,204,2,16,9,177,4,92,4,674.1412429378531,639.0,190.76,887.0,887.0,,675.1666666666666,704.0,164.66,783.0,748.0,80.02,726.24275,733.292,54.94,887.5714285714286,745.0,382.21
11501238,Rummelsburg,130,124,59,1,4,2,50,1,26,0,651.26,655.5,153.78,593.0,593.0,,798.6666666666666,869.0,200.0,877.0,877.0,,1105.5900000000001,1105.5900000000001,,769.0,769.0,
11501339,Karlshorst West,228,210,124,5,8,10,99,3,44,1,679.3434343434343,668.0,244.3,578.8,611.0,151.72,760.3333333333334,766.5,64.46,990.4,1031.0,153.96,949.5823333333333,936.704,61.13,976.1666666666666,938.0,270.23
11501340,Karlshorst Nord,298,284,175,2,6,7,148,0,64,0,693.8648648648649,679.5,212.79,1018.0,1018.0,,874.75,875.5,105.78,1202.0,1202.0,,,,,1063.2,937.0,444.17
11501341,Karlshorst Süd,183,171,89,0,2,10,76,0,35,0,682.6842105263158,660.0,203.83,,,,745.0,745.0,,,,,,,,1076.0,861.5,566.47
12100101,Letteplatz,322,291,163,3,16,15,145,6,88,6,626.903448275862,619.0,175.9,463.5,463.5,20.51,583.1,553.0,155.61,637.2222222222222,610.0,132.33,744.8630000000002,755.7815,67.19,856.3076923076923,698.0,296.38
12100102,Hausotterplatz,367,346,220,3,11,9,186,5,101,5,663.0215053763441,632.5,194.1,555.0,555.0,55.15,635.25,655.0,78.54,803.8,774.0,118.91,713.778,700.074,107.2,959.0,815.0,405.41
12100103,Breitkopfbecken,303,292,157,5,3,8,137,2,82,2,661.3722627737226,619.0,210.46,493.0,509.0,87.11,596.5,596.5,61.52,841.0,841.0,212.13,578.9715000000001,578.9715000000001,86.19,705.375,647.0,200.36
12100204,Schäfersee,362,326,185,2,15,21,165,4,123,4,572.5575757575757,557.0,151.85,384.0,384.0,,614.7777777777778,594.0,114.65,650.5,610.5,156.1,688.59925,639.785,127.9,846.375,753.0,283.43
12100205,Teichstraße,639,590,299,10,32,17,263,9,202,9,572.6501901140684,539.0,181.09,453.0,420.0,117.42,524.2777777777778,530.0,81.64,651.4285714285714,631.0,121.51,712.1396666666667,728.944,70.46,807.1428571428571,732.5,387.89
12100206,Humboldtstraße,151,142,86,0,2,7,75,0,47,0,645.0666666666667,608.0,231.99,,,,,,,,,,,,,827.0,794.0,339.79
