district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
43005,Mierendorffplatz,1637,1479,1066,19,96,61,935,32,579,31,605.06,573.0,191.97,462.42,422.0,102.58,570.32,552.0,113.43,734.59,668.0,221.09,706.11,696.01,96.42,824.3,766.0,318.84
43006,Otto-Suhr-Allee/Kantstraße,4115,3748,2745,29,189,177,2459,80,1676,72,572.23,544.0,185.01,414.23,385.0,118.62,546.57,521.0,157.86,658.28,639.0,173.88,711.12,654.28,224.07,826.05,755.0,345.35
44007,Grunewald,1566,1240,912,17,48,83,805,11,358,8,664.85,642.0,190.34,563.46,545.0,60.51,723.71,707.0,170.83,869.75,823.0,145.71,768.5,687.17,181.33,929.21,849.5,371.95
44008,Schmargendorf,2451,2300,1678,25,60,88,1516,18,760,17,645.5,623.0,179.54,465.1,453.0,98.77,625.31,617.5,80.45,819.7,778.0,231.89,774.56,752.17,144.34,953.41,915.5,328.57
45009,Halensee,2107,1964,1455,19,63,79,1318,26,923,23,575.29,540.0,191.53,392.25,400.5,92.36,583.46,530.0,141.91,641.93,634.5,120.65,703.7,671.16,113.55,778.97,706.0,315.76
45010,Lietzenburger Straße,4762,4335,3123,28,243,182,2786,114,1930,112,573.11,539.0,189.7,408.47,417.0,57.0,513.85,486.5,143.73,643.07,633.0,176.74,672.68,653.2,170.98,739.9,628.0,363.13
45011,Volkspark Wilmersdorf,3514,3076,2263,26,135,147,2081,45,1463,38,560.02,526.0,182.42,404.68,391.0,107.08,541.17,481.5,234.8,610.52,593.5,189.02,719.87,696.4,163.98,751.96,680.0,327.55
51001,Hakenfelde,2387,2205,1701,27,54,124,1495,10,722,7,670.68,631.0,208.26,567.36,545.5,280.52,713.26,654.0,210.46,810.0,702.0,295.6,875.05,859.12,224.4,1134.82,1094.0,391.52
51002,Falkenhagener Feld,3365,2893,2171,30,105,168,1834,33,991,17,637.32,605.0,202.05,526.05,522.5,97.65,735.26,678.0,220.93,844.17,780.0,199.41,935.5,876.66,207.93,1015.55,970.0,402.45
51003,Spandau Mitte,4297,3788,2761,35,163,168,2411,53,1706,49,566.11,533.0,200.97,429.96,422.5,87.87,604.08,567.5,198.41,640.07,601.0,203.17,715.08,688.7,142.74,890.22,733.5,433.7
52004,Brunsbütteler Damm,1618,1477,1112,15,60,79,926,19,351,11,691.32,667.0,191.34,575.33,544.0,113.44,786.77,712.0,311.52,847.93,802.0,215.6,871.63,840.16,156.44,956.06,916.0,381.88
52005,Heerstraße,2469,2279,1717,19,91,98,1511,25,665,16,684.39,641.0,205.0,548.13,562.0,96.55,757.84,670.0,292.38,745.94,631.0,292.45,876.8,839.16,164.92,1048.08,945.0,433.9
52006,Wilhelmstadt,3701,3444,2526,33,91,162,2231,17,1613,16,562.52,525.0,194.09,449.33,446.0,84.47,515.64,488.5,153.53,674.75,582.0,331.0,751.24,749.38,129.25,811.39,637.5,442.47
