datum,Einsätze_potentiell_abgabefähig_an_KV,Fälle_an_KV_abgegeben,von_KV_an_Berliner_Feuerwehr_abgegeben,Aufwertungen_mit_Aufwertegründen
2024-10-28,170,85,42,45
2024-10-29,199,102,50,80
2024-10-30,170,86,36,62
2024-10-31,205,97,37,72
2024-11-01,181,84,36,73
2024-11-02,204,97,51,38
2024-11-03,216,115,71,86
2024-11-04,179,86,50,48
2024-11-05,201,88,57,79
2024-11-06,182,87,54,55
2024-11-07,192,82,43,74
2024-11-08,194,96,61,79
2024-11-09,207,112,62,66
2024-11-10,190,81,57,78
2024-11-11,187,84,42,64
2024-11-12,229,111,41,93
2024-11-13,184,87,49,54
2024-11-14,182,85,48,48
2024-11-15,191,94,61,61
2024-11-16,227,118,65,72
2024-11-17,195,97,51,69
2024-11-18,195,95,48,76
2024-11-19,220,100,39,69
2024-11-20,193,85,59,63
2024-11-21,177,80,31,68
2024-11-22,197,87,60,49
2024-11-23,196,95,48,62
2024-11-24,188,90,62,80
2024-11-25,200,101,59,40
2024-11-26,193,87,53,60
2024-11-27,183,93,35,54
2024-11-28,176,80,50,57
2024-11-29,197,73,46,69
2024-11-30,182,86,45,54
2024-12-01,229,135,52,68
2024-12-02,193,86,52,42
2024-12-03,182,89,41,56
2024-12-04,217,109,46,63
2024-12-05,186,85,38,52
2024-12-06,213,92,52,48
2024-12-07,232,129,54,66
2024-12-08,237,130,52,76
2024-12-09,222,121,53,38
2024-12-10,190,83,44,75
2024-12-11,236,109,27,80
2024-12-12,193,86,44,60
2024-12-13,239,120,60,74
2024-12-14,252,129,40,83
2024-12-15,231,124,42,76
2024-12-16,220,125,40,39
2024-12-17,221,123,50,46
2024-12-18,223,115,42,75
2024-12-19,211,100,53,68
2024-12-20,200,90,39,47
2024-12-21,236,119,54,69
2024-12-22,247,136,48,82
2024-12-23,249,120,48,58
2024-12-24,203,106,49,78
2024-12-25,226,121,56,76
2024-12-26,214,123,56,69
2024-12-27,256,145,57,85
2024-12-28,255,131,59,101
2024-12-29,225,137,63,75
2024-12-30,250,119,36,84
2024-12-31,176,100,62,55
2025-01-01,271,147,55,68
2025-01-02,248,121,57,95
2025-01-03,260,131,59,100
2025-01-04,249,138,57,84
2025-01-05,259,133,79,96
2025-01-06,260,147,45,72
2025-01-07,209,99,46,60
2025-01-08,193,89,51,50
2025-01-09,211,111,51,34
2025-01-10,225,124,61,58
2025-01-11,206,98,62,86
2025-01-12,255,150,71,73
2025-01-13,186,95,52,54
2025-01-14,198,112,35,58
2025-01-15,228,96,50,87
2025-01-16,243,134,39,54
2025-01-17,215,117,47,69
2025-01-18,253,134,58,73
2025-01-19,238,122,66,92
2025-01-20,262,159,52,65
2025-01-21,220,125,64,50
2025-01-22,252,134,61,67
2025-01-23,186,91,61,52
2025-01-24,211,123,38,35
2025-01-25,276,155,47,71
2025-01-26,253,147,58,66
2025-01-27,300,163,56,64
2025-01-28,217,121,51,31
2025-01-29,257,150,55,65
2025-01-30,271,143,46,59
2025-01-31,222,94,46,66
2025-02-01,244,140,44,60
2025-02-02,227,109,76,75
2025-02-03,233,123,30,44
2025-02-04,206,120,45,54
2025-02-05,266,141,57,96
2025-02-06,244,130,40,89
2025-02-07,197,93,32,70
2025-02-08,208,111,38,66
2025-02-09,210,104,66,66
2025-02-10,250,132,32,73
2025-02-11,179,93,43,46
2025-02-12,227,119,40,85
2025-02-13,233,118,34,82
2025-02-14,217,99,50,57
2025-02-15,229,118,51,73
2025-02-16,286,150,63,99
2025-02-17,252,132,52,81
2025-02-18,237,137,31,64
2025-02-19,227,128,58,67
2025-02-20,246,127,47,71
2025-02-21,240,134,58,43
2025-02-22,268,142,46,68
2025-02-23,235,131,50,81
2025-02-24,241,123,49,52
2025-02-25,217,131,56,59
2025-02-26,287,162,73,77
2025-02-27,215,113,39,61
2025-02-28,261,140,55,57
2025-03-01,265,156,65,68
2025-03-02,238,135,73,79
2025-03-03,208,113,68,67
2025-03-04,207,93,41,83
2025-03-05,221,114,44,52
2025-03-06,210,114,49,59
2025-03-07,221,122,50,44
2025-03-08,269,144,51,93
2025-03-09,203,116,65,72
2025-03-10,226,131,52,66
2025-03-11,228,121,49,80
2025-03-12,218,140,48,59
2025-03-13,244,106,49,89
2025-03-14,242,132,48,78
2025-03-15,256,148,83,71
2025-03-16,260,164,59,78
2025-03-17,227,125,51,66
2025-03-18,183,90,45,71
2025-03-19,191,100,46,52
2025-03-20,208,90,52,64
2025-03-21,202,105,43,50
2025-03-22,235,139,57,71
2025-03-23,221,121,44,59
2025-03-24,212,101,53,56
2025-03-25,204,111,34,73
2025-03-26,206,109,56,64
2025-03-27,202,95,58,84
2025-03-28,225,118,49,74
2025-03-29,211,93,56,85
2025-03-30,215,142,70,51
2025-03-31,216,107,63,75
2025-04-01,206,98,51,80
2025-04-02,208,102,52,82
2025-04-03,188,87,38,53
2025-04-04,215,105,42,66
2025-04-05,231,114,63,70
2025-04-06,204,110,45,57
2025-04-07,235,129,38,75
2025-04-08,212,101,50,62
2025-04-09,200,100,47,73
2025-04-10,206,98,36,64
2025-04-11,194,104,50,67
2025-04-12,222,94,48,90
2025-04-13,191,104,56,61
2025-04-14,204,88,48,66
2025-04-15,216,101,41,81
2025-04-16,193,90,49,70
2025-04-17,184,80,26,66
2025-04-18,236,131,76,91
2025-04-19,204,106,54,68
2025-04-20,223,99,79,96
2025-04-21,195,107,65,71
2025-04-22,232,121,56,86
2025-04-23,199,102,42,65
2025-04-24,192,87,38,77
2025-04-25,212,107,55,74
2025-04-26,214,97,76,93
2025-04-27,178,84,58,66
2025-04-28,183,81,39,78
2025-04-29,173,67,37,70
2025-04-30,179,77,46,65
2025-05-01,235,117,57,70
2025-05-02,228,114,29,52
2025-05-03,249,141,37,85
2025-05-04,228,116,61,77
2025-05-05,206,103,36,83
2025-05-06,196,96,39,73
2025-05-07,190,88,35,59
2025-05-08,195,98,49,73
2025-05-09,212,106,50,68
2025-05-10,195,87,66,93
2025-05-11,184,100,62,62
2025-05-12,207,105,48,77
2025-05-13,166,62,37,65
2025-05-14,197,87,36,43
2025-05-15,192,86,38,79
2025-05-16,154,72,53,51
2025-05-17,195,106,54,66
2025-05-18,218,113,68,57
2025-05-19,226,124,59,71
2025-05-20,193,99,42,48
2025-05-21,204,103,55,65
2025-05-22,207,100,40,81
2025-05-23,203,85,55,65
2025-05-24,199,98,61,71
2025-05-25,200,102,64,73
2025-05-26,200,88,41,57
2025-05-27,196,86,51,77
2025-05-28,190,94,37,49
2025-05-29,202,87,52,75
2025-05-30,257,117,87,96
2025-05-31,233,102,53,81
2025-06-01,212,90,70,86
2025-06-02,224,107,41,78
2025-06-03,204,79,40,64
2025-06-04,204,94,39,82
2025-06-05,217,113,39,48
2025-06-06,193,86,43,75
2025-06-07,220,118,38,87
2025-06-08,208,94,40,89
2025-06-09,200,106,56,82
2025-06-10,214,112,48,85
2025-06-11,185,85,50,81
2025-06-12,198,102,46,73
2025-06-13,174,77,44,78
2025-06-14,219,97,58,80
2025-06-15,227,105,54,94
2025-06-16,210,83,50,92
2025-06-17,209,98,36,82
2025-06-18,213,102,54,69
2025-06-19,205,94,31,90
2025-06-20,229,105,51,90
2025-06-21,235,108,44,78
2025-06-22,175,88,33,57
2025-06-23,222,101,47,65
2025-06-24,214,109,47,49
2025-06-25,210,92,38,83
2025-06-26,188,105,49,54
2025-06-27,189,74,58,33
2025-06-28,216,88,54,91
2025-06-29,187,98,42,69
2025-06-30,224,101,38,81
2025-07-01,224,103,54,67
2025-07-02,234,107,45,58
2025-07-03,218,99,27,62
2025-07-04,211,97,30,77
2025-07-05,234,110,57,69
2025-07-06,268,139,69,86
2025-07-07,223,103,41,50
2025-07-08,199,110,48,61
2025-07-09,199,105,49,89
2025-07-10,223,93,48,102
2025-07-11,199,89,50,69
2025-07-12,215,100,57,74
2025-07-13,237,102,59,108
2025-07-14,245,107,50,81
2025-07-15,239,108,57,86
2025-07-16,235,96,58,103
2025-07-17,209,103,51,63
2025-07-18,214,86,60,71
2025-07-19,231,99,55,85
2025-07-20,244,125,74,75
2025-07-21,216,101,52,77
2025-07-22,221,109,52,90
2025-07-23,229,104,43,103
2025-07-24,232,101,44,103
2025-07-25,220,110,44,84
2025-07-26,201,80,44,55
2025-07-27,226,102,65,99
2025-07-28,216,105,44,81
2025-07-29,209,88,40,93
2025-07-30,236,117,46,95
2025-07-31,184,74,46,86
2025-08-01,181,87,35,73
2025-08-02,205,98,65,94
2025-08-03,181,100,57,63
2025-08-04,201,88,36,93
2025-08-05,206,96,45,84
2025-08-06,176,63,33,91
2025-08-07,221,102,34,71
2025-08-08,213,94,50,99
2025-08-09,225,98,51,94
2025-08-10,225,116,57,93
2025-08-11,249,132,27,77
2025-08-12,234,89,46,105
2025-08-13,222,118,23,72
2025-08-14,219,107,44,91
2025-08-15,225,118,53,50
2025-08-16,198,104,43,62
2025-08-17,262,146,62,88
2025-08-18,242,135,31,97
2025-08-19,213,109,33,77
2025-08-20,230,98,47,102
2025-08-21,197,101,64,70
2025-08-22,192,95,49,66
2025-08-23,222,122,64,73
2025-08-24,224,142,52,72
2025-08-25,192,97,37,84
2025-08-26,219,116,48,96
2025-08-27,193,98,38,90
2025-08-28,228,112,43,94
2025-08-29,182,89,45,75
2025-08-30,242,119,67,75
2025-08-31,248,137,57,88
2025-09-01,246,138,62,49
2025-09-02,209,98,55,102
2025-09-03,246,116,35,92
2025-09-04,201,89,50,72
2025-09-05,210,81,36,101
2025-09-06,210,110,39,65
2025-09-07,235,128,34,65
2025-09-08,226,109,44,89
2025-09-09,205,112,40,74
2025-09-10,194,102,40,70
2025-09-11,212,99,43,75
2025-09-12,218,120,48,71
2025-09-13,191,105,38,67
2025-09-14,208,129,60,63
2025-09-15,231,110,51,93
2025-09-16,215,112,51,87
2025-09-17,193,102,36,65
2025-09-18,218,101,31,95
2025-09-19,236,130,52,67
2025-09-20,231,105,37,61
2025-09-21,243,107,55,69
2025-09-22,202,97,40,84
2025-09-23,199,95,50,68
2025-09-24,227,123,49,84
2025-09-25,233,108,52,71
2025-09-26,211,97,33,91
2025-09-27,213,122,36,56
