,mission_date,mission_type,dispatchcode_category,dispatchcode_criticality,mission_location_district,response_time,units_non_berlin_involed,units_several_involved,units_reinforcements_called,units_organisations,firstresponder_alarmed,firstresponder_indication,firstresponder_first_arrival,units_first_type,emergency_doctor_involved
130,2026-01-01,Rettungsdienst,01,D,Tempelhof-Schöneberg,495.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
131,2026-01-01,Rettungsdienst,01,D,Mitte,491.0,False,False,False,ORG_MHD,False,False,False,RTW-C,False
132,2026-01-01,Rettungsdienst,01,C,Charlottenburg-Wilmersdorf,507.0,False,False,False,ORG_MHD,False,False,False,RTW-C,False
133,2026-01-01,Rettungsdienst,01,C,Tempelhof-Schöneberg,632.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
134,2026-01-01,Rettungsdienst,01,C,Neukölln,492.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
135,2026-01-01,Rettungsdienst,01,C,Pankow,916.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
136,2026-01-01,Rettungsdienst,01,C,Marzahn-Hellersdorf,893.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
137,2026-01-01,Rettungsdienst,01,C,Spandau,523.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
138,2026-01-01,Rettungsdienst,01,C,Friedrichshain-Kreuzberg,1002.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
139,2026-01-01,Rettungsdienst,01,C,Mitte,652.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
140,2026-01-01,Rettungsdienst,01,C,Lichtenberg,1162.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
141,2026-01-01,Rettungsdienst,01,C,Pankow,567.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
142,2026-01-01,Rettungsdienst,01,C,Marzahn-Hellersdorf,589.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
143,2026-01-01,Rettungsdienst,01,C,Reinickendorf,742.0,False,False,False,ORG_BW,False,False,False,RTW-BW,False
